grant_sn,S_N,org_name_geojson,grantee_name_grantCSV,has_geometry,X,Y,WKT,Location_geojson,Type_of_Grant_geojson,Commodities_geojson,organization_type,municipality,district,province,direct_hh,total_hh,area_ha_org,grant_title,implementation_period,enterprise_commodity,main_category,subcategory,enterprise_classification,women_count_org,women_json,restoration_records_org,area_direct_total_org,area_contributed_total_org,people_benefited_total_org,restoration_json,loa_contracts_org,loa_total_NPR_org,loa_total_USD_org,dbg_contracts_org,dbg_total_NPR_org,dbg_total_USD_org,finance_contracts_org,finance_total_NPR_org,finance_total_USD_org,finance_sites_org,finance_json
7,7,Green Foundation Nepal / Shree Kalika Malika Kissan Jaluke CFUG,Green Foundation Nepal / Shree Kalika Malika Kissan Jaluke CFUG,True,85.3319140000000,27.6845510000000,POINT (85.3319141297342 27.6845512561989),"Baneshwor, Shantinagar gate, Babuchiring marg",LoA,Bamboo handicraft and grass handicraft of Tharu community,forest_sector,,,Lumbini,25.0,,,Demonstrate Multiple Use of Bamboo by Developing Bamboo Related Enterprise to Increase Income,December 2020- December 2021,Bamboo handicraft and grass handicraft of Tharu community,Forest-based,Bamboo,Forest-based,0,,0,,,,,0,,,0,,,0,,,,
24,24,Green Foundation Nepal (GFN),Green Foundation Nepal (GFN),True,85.3317750000000,27.683896000000,POINT (85.3317746524614 27.683895689914),"Babuchiring Marga, Kathmandu - 31, Shantinagar, Nepal",LoA,Bamboo handicraft and grass handicraft of Tharu community,,,,,,,,Strengthening forest farm-based enterprises through the integration and establishment of a feasible collective institutional model of forest-based enterprises,12 December 2022-12 December 2023,Bamboo handicraft and grass handicraft of Tharu community,Forest-based,Bamboo,Forest-based,0,,1,5.0,0,105.0,"[{""org_id"": 24, ""org_name"": ""Green Foundation Nepal  (Pakare agroforestry Entrepreneur Group)"", ""year_block"": ""2022 and 2023"", ""area_direct_ha"": 5.0, ""area_contributed_ha"": null, ""people_benefited"": 105.0}]",1,2519750.0,19019.2778000000,0,,,1,2519750.0,19019.2778000000,,"[{""org_id"": 24, ""org_name_raw"": ""GREEN FOUNDATION NEPAL (GFN)"", ""sheet"": ""LoA"", ""site_code"": """", ""service_start"": ""2022-12-12"", ""service_end"": ""2023-12-11"", ""cur"": ""NPR"", ""cur_value"": 2519750.0, ""usd_value"": 19019.2777995828}]"
51,51,Samudayak Udhami Mahila Krishi Krishak Samuha,Samudayak Udhami Mahila Krishi Krishak Samuha,True,84.1329660000000,27.6488140000000,POINT (84.1329661225596 27.6488137309962),"Kawasoti Municipality-02, Nawalparasi (Bardaghat Susta East), Gandaki Province, Nepal",LoA,Bamboo Shoots (Tama),farmers_group,Kawasoti Municipality-02,,Gandaki,51.0,51.0,1100.0,Boosting sustainable bamboo shoot enterprise through resilient agroforestry practices,26 November 2024 - 26 November 2025,Bamboo Shoots (Tama),Forest-based,Bamboo,Forest-based,51,"[{""org_id"": 51, ""producer_group"": ""Samudayik Udhami Mahila Krishi Krishak Samuha"", ""year_block"": ""2025"", ""women_count"": 51, ""product"": ""Fermented Bamboo (forest food)""}]",1,12.0,1100.0,25.0,"[{""org_id"": 51, ""org_name"": ""SAMUDAYAK UDHAMI MAHILA KRISHI KRISHAK SAMUHA"", ""year_block"": ""2025"", ""area_direct_ha"": 12.0, ""area_contributed_ha"": 1100.0, ""people_benefited"": 25.0}]",1,2973850.0,22029.9871840000,0,,,1,2973850.0,22029.9871840000,,"[{""org_id"": 51, ""org_name_raw"": ""SAMUDAYAK UDHAMI MAHILA KRISHI KRISHAK SAMUHA"", ""sheet"": ""LoA"", ""site_code"": """", ""service_start"": ""2024-11-26"", ""service_end"": ""2025-11-25"", ""cur"": ""NPR"", ""cur_value"": 2973850.0, ""usd_value"": 22029.9871843311}]"
66,33,Binayi Samudayik Ban Upobhokta Samu (BSBUS),Binayi Samudayik Ban Upobhokta Samu,True,83.8659760000000,27.5819630000000,POINT (83.8659763966365 27.5819630378295),"Binayi Triveni Rural Municipality-1, Dumkibas Nawalparasi, NepaL",LoA,Fertiliser,forest_sector,"Binayi Triveni Rural Municipality-1, Dumkibas",Nawalpur,Gandaki,20.0,,,"Strengthening Value Addition and Market Capacity of the Bio-Fertiliser Enterprise of Binayi Community Forest, Nawalpur.",October 2025 - July 2026,Fertiliser,Circular / green enterprises,Fertiliser,Forest-based,6216,"[{""org_id"": 33, ""producer_group"": ""Binayi Community Forest User Group"", ""year_block"": ""2019-2024"", ""women_count"": 20, ""product"": ""Forest Biomass- organic fertilizer""}, {""org_id"": 33, ""producer_group"": ""Binayi Community Forest User Group"", ""year_block"": ""2026"", ""women_count"": 6196, ""product"": ""Bio-fertilizer""}]",2,3.0,3.0,2228.0,"[{""org_id"": 33, ""org_name"": ""Binayi CFUGs"", ""year_block"": ""2024"", ""area_direct_ha"": 3.0, ""area_contributed_ha"": 3.0, ""people_benefited"": 20.0}, {""org_id"": 33, ""org_name"": ""Binayi Samudayik Ban Upobhokta Samu"", ""year_block"": ""2025"", ""area_direct_ha"": null, ""area_contributed_ha"": null, ""people_benefited"": 2208.0}]",1,2528580.0,18992.8868120000,1,4225700.0,29924.9344950000,2,6754280.0,48917.821306999998,NAWALPARASI LOA,"[{""org_id"": 33, ""org_name_raw"": ""BINAYI SAMUDAYIK BAN UPOBHOKTA SAMU"", ""sheet"": ""LoA"", ""site_code"": """", ""service_start"": ""2023-11-27"", ""service_end"": ""2024-11-26"", ""cur"": ""NPR"", ""cur_value"": 2528580.0, ""usd_value"": 18992.8868124346}, {""org_id"": 33, ""org_name_raw"": ""BINAYI SAMUDAYIK BAN UPOBHOKTA SAMU"", ""sheet"": ""DBG"", ""site_code"": ""NAWALPARASI LOA"", ""service_start"": ""2025-09-18"", ""service_end"": ""2026-06-30"", ""cur"": ""NPR"", ""cur_value"": 4225700.0, ""usd_value"": 29924.9344947239}]"
6,6,CDCAN (Central Dairy Cooperative Association Ltd. Nepal ),CDCAN (Central Dairy Cooperative Association Ltd. Nepal ),True,85.3405560000000,27.6893520000000,POINT (85.3405557101326 27.6893523799411),"Baneswor-31, Kathmandu",LoA,Dairy agroforestry (GMP),cooperative,Kathmandu Metropolitan City-31,,Bagmati,,600000.0,,Enhancing Production and Entrepreneurial Capacity of Dairy Farmers for Profitable and Sustainable Collective Dairy Enterprise,Feb 2020- March 2021,Dairy agroforestry (GMP),Livestock,Dairy,Integrated,0,,2,18.5567,5.0,1826.0,"[{""org_id"": 6, ""org_name"": ""Central Dairy Cooperative Association Ltd. Nepal"", ""year_block"": ""2022 and 2023"", ""area_direct_ha"": 3.3067, ""area_contributed_ha"": null, ""people_benefited"": 460.0}, {""org_id"": 6, ""org_name"": ""CDCAN"", ""year_block"": ""2024"", ""area_direct_ha"": 15.25, ""area_contributed_ha"": 5.0, ""people_benefited"": 1366.0}]",3,6024390.0,48965.2621920000,1,3408040.0,24049.0572430000,4,9432430.0,73014.3194340000,KATHMANDU (LOA),"[{""org_id"": 6, ""org_name_raw"": ""CENTRAL DAIRY COOPERATIVE ASSOCIATION LTD NEPAL (CDCAN)"", ""sheet"": ""LoA"", ""site_code"": """", ""service_start"": ""2020-02-02"", ""service_end"": ""2020-09-18"", ""cur"": ""NPR"", ""cur_value"": 1905000.0, ""usd_value"": 16710.5263157887}, {""org_id"": 6, ""org_name_raw"": ""CENTRAL DAIRY COOPERATIVE ASSOCIATION LTD NEPAL (CDCAN)"", ""sheet"": ""LoA"", ""site_code"": """", ""service_start"": ""2021-12-16"", ""service_end"": ""2023-02-28"", ""cur"": ""NPR"", ""cur_value"": 1632190.0, ""usd_value"": 13597.0509830058}, {""org_id"": 6, ""org_name_raw"": ""CENTRAL DAIRY COOPERATIVE ASSOCIATION LTD NEPAL (CDCAN)"", ""sheet"": ""LoA"", ""site_code"": """", ""service_start"": ""2023-12-11"", ""service_end"": ""2024-12-10"", ""cur"": ""NPR"", ""cur_value"": 2487200.0, ""usd_value"": 18657.6848927672}, {""org_id"": 6, ""org_name_raw"": ""CENTRAL DAIRY COOPERATIVE ASSOCIATION LTD NEPAL (CDCAN)"", ""sheet"": ""DBG"", ""site_code"": ""KATHMANDU (LOA)"", ""service_start"": ""2025-10-10"", ""service_end"": ""2026-06-30"", ""cur"": ""NPR"", ""cur_value"": 3408040.0, ""usd_value"": 24049.0572428599}]"
20,6,CDCAN (Central Dairy Cooperative Association Ltd. Nepal ),Central Dairy Cooperative Association Ltd Nepal,True,85.3405560000000,27.6893520000000,POINT (85.3405557101326 27.6893523799411),"Baneswor-31, Kathmandu",LoA,Dairy agroforestry (GMP),cooperative,Kathmandu Metropolitan City-31,,Bagmati,,600000.0,,Quality Milk Production and Economic Enrichment through Adoption of Silage  Technology,15 December 2021-15 November 2022,Dairy agroforestry (GMP) and promotion of silage technology,Livestock,Dairy,Integrated,0,,2,18.5567,5.0,1826.0,"[{""org_id"": 6, ""org_name"": ""Central Dairy Cooperative Association Ltd. Nepal"", ""year_block"": ""2022 and 2023"", ""area_direct_ha"": 3.3067, ""area_contributed_ha"": null, ""people_benefited"": 460.0}, {""org_id"": 6, ""org_name"": ""CDCAN"", ""year_block"": ""2024"", ""area_direct_ha"": 15.25, ""area_contributed_ha"": 5.0, ""people_benefited"": 1366.0}]",3,6024390.0,48965.2621920000,1,3408040.0,24049.0572430000,4,9432430.0,73014.3194340000,KATHMANDU (LOA),"[{""org_id"": 6, ""org_name_raw"": ""CENTRAL DAIRY COOPERATIVE ASSOCIATION LTD NEPAL (CDCAN)"", ""sheet"": ""LoA"", ""site_code"": """", ""service_start"": ""2020-02-02"", ""service_end"": ""2020-09-18"", ""cur"": ""NPR"", ""cur_value"": 1905000.0, ""usd_value"": 16710.5263157887}, {""org_id"": 6, ""org_name_raw"": ""CENTRAL DAIRY COOPERATIVE ASSOCIATION LTD NEPAL (CDCAN)"", ""sheet"": ""LoA"", ""site_code"": """", ""service_start"": ""2021-12-16"", ""service_end"": ""2023-02-28"", ""cur"": ""NPR"", ""cur_value"": 1632190.0, ""usd_value"": 13597.0509830058}, {""org_id"": 6, ""org_name_raw"": ""CENTRAL DAIRY COOPERATIVE ASSOCIATION LTD NEPAL (CDCAN)"", ""sheet"": ""LoA"", ""site_code"": """", ""service_start"": ""2023-12-11"", ""service_end"": ""2024-12-10"", ""cur"": ""NPR"", ""cur_value"": 2487200.0, ""usd_value"": 18657.6848927672}, {""org_id"": 6, ""org_name_raw"": ""CENTRAL DAIRY COOPERATIVE ASSOCIATION LTD NEPAL (CDCAN)"", ""sheet"": ""DBG"", ""site_code"": ""KATHMANDU (LOA)"", ""service_start"": ""2025-10-10"", ""service_end"": ""2026-06-30"", ""cur"": ""NPR"", ""cur_value"": 3408040.0, ""usd_value"": 24049.0572428599}]"
37,67,Kendriya Dugda Sahakari Sangh LTD (Central Dairy Cooperative Association Nepal) (of Setidevi Cooperative and Deurali Dairy Cooperative),Central Dairy Cooperative Association Ltd Nepal (CDCAN) (Kendriya Dughda Sahakari Sangh Ltd),False,,,,"Setidevi Milk Producer Cooperative Ltd. -  Dhulikhel 2, Rabi, Kavre District, Bagmati Province, Nepal                        Deurali Dairy Cooperative - same as above location",DBG,Silage,,,,,,,,Increasing the resilience of dairy producers by employing climate-smart dairy production practices.,11 December 2023-10 December 2024,Climate smart dairy practices with dairy cooperative,Livestock,Dairy,Integrated,0,,1,0,0,1440.0,"[{""org_id"": 67, ""org_name"": ""Kendriya Dugda Sahakari Sangh LTD (Central Dairy Cooperative Association Nepal) (of Setidevi Cooperative and Deurali Dairy Cooperative)"", ""year_block"": ""2025"", ""area_direct_ha"": null, ""area_contributed_ha"": null, ""people_benefited"": 1440.0}]",0,,,0,,,0,,,,
50,50,Central Livestock Co Operative Fed. Ltd. Nepal (Federation of Central Livestock Fisheries Cooperative Ltd),Central Livestock Co Operative Fed. Ltd. Nepal (Federation of Central Livestock Fisheries Cooperative Ltd),True,86.0427640000000,26.8711970000000,POINT (86.0427638071407 26.8711974413828),Dhanushadham,LoA,Dairy,cooperative,Dhanushadham Municipality,Dhanusha,Madhesh,59.0,59.0,,Increasing the resilience of dairy producers by employing climate-smart dairy production practices,22 November 2024 - 22 November 2025,Dairy,Livestock,Dairy,Farm-based,0,,1,5.0,500.0,100.0,"[{""org_id"": 50, ""org_name"": ""CENTRAL LIVESTOCK CO OPERATIVE FED LTD NEPAL"", ""year_block"": ""2025"", ""area_direct_ha"": 5.0, ""area_contributed_ha"": 500.0, ""people_benefited"": 100.0}]",1,3246925.0,24052.8998230000,0,,,1,3246925.0,24052.8998230000,,"[{""org_id"": 50, ""org_name_raw"": ""CENTRAL LIVESTOCK CO OPERATIVE FED LTD NEPAL"", ""sheet"": ""LoA"", ""site_code"": """", ""service_start"": ""2024-11-22"", ""service_end"": ""2025-11-21"", ""cur"": ""NPR"", ""cur_value"": 3246925.0, ""usd_value"": 24052.8998229515}]"
55,55,Sana Kishan Krishi Sahakari Sastha,Sana Kishan Krishi Sahakari Sastha,True,85.5716050000000,27.0185960000000,POINT (85.5716045389516 27.0185959764831),"Haripur Municipality-2, Sarlahi, Madhesh Province, Nepal",DBG,Dairy Products,cooperative,Haripur Municipality-2,Sarlahi,Madhesh,142.0,1258.0,,Support smallholder farmers in resilient milk production through integration of silage technology,8 December 2024 - 8 December 2025,Dairy Products,Livestock,Dairy,Farm-based,123,"[{""org_id"": 55, ""producer_group"": ""Sana Kishan Krishi Sahakari Sanstha"", ""year_block"": ""2025"", ""women_count"": 123, ""product"": ""Value added dairy products""}]",1,10.0,300.0,142.0,"[{""org_id"": 55, ""org_name"": ""SANA KISHAN KRISHI SAHAKARI SASTHA"", ""year_block"": ""2025"", ""area_direct_ha"": 10.0, ""area_contributed_ha"": 300.0, ""people_benefited"": 142.0}]",0,,,1,6674630.0,49401.8163110000,1,6674630.0,49401.8163110000,SARLAHI (DBG),"[{""org_id"": 55, ""org_name_raw"": ""SANA KISHAN KRISHI SAHAKARI SASTHA"", ""sheet"": ""DBG"", ""site_code"": ""SARLAHI (DBG)"", ""service_start"": ""2024-12-08"", ""service_end"": ""2025-12-07"", ""cur"": ""NPR"", ""cur_value"": 6674630.0, ""usd_value"": 49401.8163112754}]"
60,60,Kunchhal Krishi Sahakari Sa. Ltd.,Kunchhal Krishi Sahakari Sa. Ltd.,False,,,,"Thaha Municipality-6, Bajrabarahi, Makwanpur, Bagmati",DBG,Dairy Products,cooperative,"Thaha Municipality-6, Bajrabarahi",Makwanpur,Bagmati,387.0,523.0,,Promotion of Fodder based Agroforestry and promotion of value-added dairy products through cheese production,17 December 2024 - 17 December 2025,Dairy Products,Livestock,Dairy,Integrated,0,,1,17.25,1161.0,115.0,"[{""org_id"": 60, ""org_name"": ""KUNCHHAL KRISHI SAHAKARI SA LTD"", ""year_block"": ""2025"", ""area_direct_ha"": 17.25, ""area_contributed_ha"": 1161.0, ""people_benefited"": 115.0}]",0,,,1,6371595.0,46944.5426820000,1,6371595.0,46944.5426820000,MAKWANPUR (DBG),"[{""org_id"": 60, ""org_name_raw"": ""KUNCHHAL KRISHI SAHAKARI SA LTD"", ""sheet"": ""DBG"", ""site_code"": ""MAKWANPUR (DBG)"", ""service_start"": ""2024-12-17"", ""service_end"": ""2026-03-31"", ""cur"": ""NPR"", ""cur_value"": 6371595.0, ""usd_value"": 46944.5426815771}]"
